17061E09131DF3000,-12.632,-20.978,SlideAdapter1,18.15,39.05
reagentMWP,A,2,SlideAdapter1,18.15,39.05
17061E09131DF3000,-12.377,5.689,SlideAdapter1,18.15,43.55
reagentMWP,A,2,SlideAdapter1,18.15,43.55
17061E09131DF3000,-12.339,-27.512,SlideAdapter1,18.15,48.05
reagentMWP,A,2,SlideAdapter1,18.15,48.05
17061E09131DF3000,-11.783,-15.759,SlideAdapter1,22.65,34.55
reagentMWP,A,2,SlideAdapter1,22.65,34.55
17061E09131DF3000,-11.468,-21.467,SlideAdapter1,22.65,39.05
reagentMWP,A,2,SlideAdapter1,22.65,39.05
17061E09131DF3000,-11.363,-14.190,SlideAdapter1,22.65,43.55
reagentMWP,A,2,SlideAdapter1,22.65,43.55
17061E09131DF3000,-11.361,-35.613,SlideAdapter1,22.65,48.05
reagentMWP,A,2,SlideAdapter1,22.65,48.05
reagentMWP,A,1,SlideAdapter1,-26.85,39.05
reagentMWP,A,1,SlideAdapter1,-26.85,39.05
reagentMWP,A,1,SlideAdapter1,-26.85,43.55
reagentMWP,A,1,SlideAdapter1,-26.85,43.55
reagentMWP,A,1,SlideAdapter1,-26.85,48.05
reagentMWP,A,1,SlideAdapter1,-26.85,48.05
reagentMWP,A,1,SlideAdapter1,-22.35,34.55
reagentMWP,A,1,SlideAdapter1,-22.35,34.55
reagentMWP,A,1,SlideAdapter1,-22.35,39.05
reagentMWP,A,1,SlideAdapter1,-22.35,39.05
reagentMWP,A,1,SlideAdapter1,-22.35,43.55
reagentMWP,A,1,SlideAdapter1,-22.35,43.55
reagentMWP,A,1,SlideAdapter1,-22.35,48.05
reagentMWP,A,1,SlideAdapter1,-22.35,48.05
reagentMWP,A,1,SlideAdapter1,-17.85,34.55
reagentMWP,A,1,SlideAdapter1,-17.85,34.55
reagentMWP,A,1,SlideAdapter1,-17.85,39.05
reagentMWP,A,1,SlideAdapter1,-17.85,39.05
reagentMWP,A,1,SlideAdapter1,-17.85,43.55
reagentMWP,A,1,SlideAdapter1,-17.85,43.55
reagentMWP,A,1,SlideAdapter1,-17.85,48.05
reagentMWP,A,1,SlideAdapter1,-17.85,48.05
reagentMWP,A,1,SlideAdapter1,-13.35,34.55
reagentMWP,A,1,SlideAdapter1,-13.35,34.55
reagentMWP,A,1,SlideAdapter1,-13.35,39.05
reagentMWP,A,1,SlideAdapter1,-13.35,39.05
reagentMWP,A,1,SlideAdapter1,-13.35,43.55
reagentMWP,A,1,SlideAdapter1,-13.35,43.55
reagentMWP,A,1,SlideAdapter1,-13.35,48.05
reagentMWP,A,1,SlideAdapter1,-13.35,48.05
reagentMWP,A,1,SlideAdapter1,-8.85,34.55
reagentMWP,A,1,SlideAdapter1,-8.85,34.55
reagentMWP,A,1,SlideAdapter1,-8.85,39.05
reagentMWP,A,1,SlideAdapter1,-8.85,39.05
reagentMWP,A,1,SlideAdapter1,-8.85,43.55
reagentMWP,A,1,SlideAdapter1,-8.85,43.55
reagentMWP,A,1,SlideAdapter1,-8.85,48.05
reagentMWP,A,1,SlideAdapter1,-8.85,48.05
reagentMWP,A,1,SlideAdapter1,-4.35,34.55
reagentMWP,A,1,SlideAdapter1,-4.35,34.55
reagentMWP,A,1,SlideAdapter1,-4.35,39.05
reagentMWP,A,1,SlideAdapter1,-4.35,39.05
reagentMWP,A,1,SlideAdapter1,-4.35,43.55
reagentMWP,A,1,SlideAdapter1,-4.35,43.55
reagentMWP,A,1,SlideAdapter1,-4.35,48.05
reagentMWP,A,1,SlideAdapter1,-4.35,48.05
reagentMWP,A,1,SlideAdapter1,0.15,34.55
reagentMWP,A,1,SlideAdapter1,0.15,34.55
reagentMWP,A,1,SlideAdapter1,0.15,39.05
reagentMWP,A,1,SlideAdapter1,0.15,39.05
reagentMWP,A,1,SlideAdapter1,0.15,43.55
reagentMWP,A,1,SlideAdapter1,0.15,43.55
reagentMWP,A,1,SlideAdapter1,0.15,48.05
reagentMWP,A,1,SlideAdapter1,0.15,48.05
reagentMWP,A,1,SlideAdapter1,4.65,34.55
reagentMWP,A,1,SlideAdapter1,4.65,34.55
reagentMWP,A,1,SlideAdapter1,4.65,39.05
reagentMWP,A,1,SlideAdapter1,4.65,39.05
reagentMWP,A,1,SlideAdapter1,4.65,43.55
reagentMWP,A,1,SlideAdapter1,4.65,43.55
reagentMWP,A,1,SlideAdapter1,4.65,48.05
reagentMWP,A,1,SlideAdapter1,4.65,48.05
reagentMWP,A,1,SlideAdapter1,9.15,34.55
reagentMWP,A,1,SlideAdapter1,9.15,34.55
reagentMWP,A,1,SlideAdapter1,9.15,39.05
reagentMWP,A,1,SlideAdapter1,9.15,39.05
reagentMWP,A,1,SlideAdapter1,9.15,43.55
reagentMWP,A,1,SlideAdapter1,9.15,43.55
reagentMWP,A,1,SlideAdapter1,9.15,48.05
reagentMWP,A,1,SlideAdapter1,9.15,48.05
reagentMWP,A,1,SlideAdapter1,13.65,34.55
reagentMWP,A,1,SlideAdapter1,13.65,34.55
reagentMWP,A,1,SlideAdapter1,13.65,39.05
reagentMWP,A,1,SlideAdapter1,13.65,39.05
reagentMWP,A,1,SlideAdapter1,13.65,43.55
reagentMWP,A,1,SlideAdapter1,13.65,43.55
reagentMWP,A,1,SlideAdapter1,13.65,48.05
reagentMWP,A,1,SlideAdapter1,13.65,48.05
reagentMWP,A,1,SlideAdapter1,18.15,34.55
reagentMWP,A,1,SlideAdapter1,18.15,34.55
reagentMWP,A,1,SlideAdapter1,18.15,39.05
reagentMWP,A,1,SlideAdapter1,18.15,39.05
reagentMWP,A,1,SlideAdapter1,18.15,43.55
reagentMWP,A,1,SlideAdapter1,18.15,43.55
reagentMWP,A,1,SlideAdapter1,18.15,48.05
reagentMWP,A,1,SlideAdapter1,18.15,48.05
reagentMWP,A,1,SlideAdapter1,22.65,34.55
reagentMWP,A,1,SlideAdapter1,22.65,34.55
reagentMWP,A,1,SlideAdapter1,22.65,39.05
reagentMWP,A,1,SlideAdapter1,22.65,39.05
reagentMWP,A,1,SlideAdapter1,22.65,43.55
reagentMWP,A,1,SlideAdapter1,22.65,43.55
reagentMWP,A,1,SlideAdapter1,22.65,48.05
reagentMWP,A,1,SlideAdapter1,22.65,48.05
17061E09131DF3000,-11.190,-6.959,SlideAdapter2,-26.85,-50.35
reagentMWP,A,2,SlideAdapter2,-26.85,-50.35
17061E09131DF3000,-11.172,-26.520,SlideAdapter2,-26.85,-45.85
reagentMWP,A,2,SlideAdapter2,-26.85,-45.85
17061E09131DF3000,-10.553,-19.828,SlideAdapter2,-26.85,-41.35
reagentMWP,A,2,SlideAdapter2,-26.85,-41.35
17061E09131DF3000,-10.413,-11.937,SlideAdapter2,-26.85,-36.85
reagentMWP,A,2,SlideAdapter2,-26.85,-36.85
17061E09131DF3000,-10.379,-17.190,SlideAdapter2,-22.35,-50.35
reagentMWP,A,2,SlideAdapter2,-22.35,-50.35
17061E09131DF3000,-10.120,15.186,SlideAdapter2,-22.35,-45.85
reagentMWP,A,2,SlideAdapter2,-22.35,-45.85
17061E09131DF3000,-9.863,2.844,SlideAdapter2,-22.35,-41.35
reagentMWP,A,2,SlideAdapter2,-22.35,-41.35
17061E09131DF3000,-9.151,-7.975,SlideAdapter2,-22.35,-36.85
reagentMWP,A,2,SlideAdapter2,-22.35,-36.85
17061E09131DF3000,-9.057,-24.277,SlideAdapter2,-17.85,-50.35
reagentMWP,A,2,SlideAdapter2,-17.85,-50.35
17061E09131DF3000,-8.915,-25.308,SlideAdapter2,-17.85,-45.85
reagentMWP,A,2,SlideAdapter2,-17.85,-45.85
17061E09131DF3000,-8.627,-6.769,SlideAdapter2,-17.85,-41.35
reagentMWP,A,2,SlideAdapter2,-17.85,-41.35
17061E09131DF3000,-8.565,-34.663,SlideAdapter2,-17.85,-36.85
reagentMWP,A,2,SlideAdapter2,-17.85,-36.85
17061E09131DF3000,-8.384,11.860,SlideAdapter2,-13.35,-50.35
